i_type,date,p_type,details,age,birthmonth,sex,pk,longitude,latitude
Pedestrian behaviour,2015-05-14T16:25:00,hazard,Large groups of pedestrians stand around chatting in the middle of the trail oblivious to the fact that they're obstructing traffic!,,,,1600,-123.3700275,48.46193771
Road surface,2015-10-10T09:30:00,hazard,"The bike lane is slightly elevated from the main road.  My buddy avoided a pot hole, tried to get on the bike lane,  not realising there was a bit of an elevation, and scraped his wheels on the elevation and fell over his handlebars. ",1994,2,M,1764,-123.3859116,48.50177737
Pedestrian behaviour,2015-06-04T16:35:00,hazard,Large groups of pedestrians stand around chatting in the middle of the trail oblivious to the fact that they're obstructing traffic!,1963,,F,1601,-123.3750594,48.45917721
Other infrastructure,2015-09-08T17:30:00,hazard,"Left turn metal sensor does not pick up bikes of any kind. Not signed to show where you are supposed to position sensor to trigger left turn signal. If you arrive at the left turn and there are no cars behind you, you will sit here indefinitely waiting for a left turn signal.",1991,5,M,1575,-123.400476,48.44757866
Other infrastructure,2015-08-21T13:00:00,hazard,"This intersection is dangerous and unclear how cyclists should proceed. There is a sign that says pedestrians should use crosswalk down the road, but for cyclists there is no clear way to cross to continue on the goose heading west. Safest way is to follow the pedestrian route.",1991,5,M,1576,-123.5259819,48.43361418
Poor visibility,2015-09-02T13:00:00,hazard,"A trail joins midland segments. The trail is oriented such that oncoming traffic at both ends is not visible, so caution (and bell use) is advisable. ",,,,1605,-123.3038092,48.44244029
Road surface,2015-06-30T08:30:00,hazard,There is a terrible raised manhole cover in the middle of the bike lane with no paint or anything to signal to a rider that there is a huge bump coming up!,,,,1256,-123.3746839,48.42812557
Other,2015-07-21T10:40:00,hazard,Metal shard smaller than a sewing needle punctured my tire and gave me an instant flat.,1962,5,F,1395,-123.4059477,48.45888195
Other infrastructure,2015-08-25T18:00:00,hazard,"Considering how little auto traffic there is, this intersection is extremely dangerous. Drivers come down the hill at high speed, hoping to merge with HWY1, and only look left, not right. Visibility for southbound cyclists is terrible as there is a large bush blocking the line of sight up the road. ",1975,7,M,1551,-123.3807939,48.45611773
Other infrastructure,2015-05-25T02:25:00,hazard,"McKenzie and Borden: approaching the intersection from the north,  there is no cyclist-accessible button to activate the lights. One has to dismount and walk about 2m across the sidewalk to press the pedestrian button.  This is the only place within  the urban area where this appears to be missing.",1952,9,M,1188,-123.3612835,48.47045423
