i_type,incident_with,date,p_type,details,incident_effect,injury,trip_purpose,regular_cyclist,helemt,intoxicated,road_conditions,sightlines,card_on_roadside,riding_on,bike_lights,terrain,direction,turning,age,birthmonth,sex,pk,longitude,latitude
Near collision with moving object or vehicle,"Vehicle, head on",2014-10-08T17:00:00,nearmiss,"Vehicle was turning left onto Shelbourne from Haultain. The driver stopped at the stop line and waited until it turned green, then proceeded to turn left in front of me as I was riding through the intersection. I had to maneuver into the oncoming lane to avoid the car. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,W,Heading straight,1990,6,F,940,-123.3336997,48.43607711
Near collision with moving object or vehicle,"Vehicle, rear end",2015-05-27T17:05:00,nearmiss,"Biking along, car was passing me, realized there was a bus oncoming, so squeezed close to me. I noticed the driver was using her cell phone as she passed me.",,No injury,During work,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,W,Heading straight,1982,8,M,1011,-123.3343649,48.41674066
Near collision with moving object or vehicle,"Vehicle, side",2015-08-06T09:30:00,nearmiss,My children and I were walking our bikes across the cross walk. A driver turning right (Off Oak Ave on to Hampshire) didn't see us and nearly hit us. I screamed to get her attention. When she saw us she apologies.  There is a long of distracted driving in Oak Bay Village.,,No injury,Personal business,Y,Y,N,,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,E,Heading straight,1975,4,F,1472,-123.3159006,48.42649168
Near collision with moving object or vehicle,"Vehicle, angle",2015-09-11T17:10:00,nearmiss,"After pushing the crosswalk button a grey truck with a young female driver slowed and stoped close to the line, to let two cyclists crossing at the same time heading SW (opposite of me) go by. As the cyclists passed by she accelerated while looking at her phone nearly causing me to collide with her.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Mixed use trail,NL,Flat,NE,Heading straight,1990,7,F,1581,-123.3678925,48.46331434
Near collision with moving object or vehicle,"Vehicle, side",2015-09-02T09:30:00,nearmiss,"car cut in front of me in order to turn left. Slammed on brakes, near miss. this was a painted bike land.",,No injury,Commute,,,,Dry,No obstructions,N,Busy street bike lane,NL,Flat,E,Heading straight,,,,1606,-123.3443642,48.44821914
Near collision with moving object or vehicle,Animal,2015-09-17T07:15:00,nearmiss,Deer!!,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",F,Flat,NE,Heading straight,1971,6,M,1654,-123.3029294,48.45238562
Near collision with moving object or vehicle,"Vehicle, head on",2015-10-06T13:00:00,nearmiss,,,No injury,During work,,,,,,,,,,,,,,,1743,-123.3422291,48.43618032
Near collision with moving object or vehicle,"Vehicle, side",2014-09-08T17:00:00,nearmiss,"Truck moving across lanes, then across cycle lane to turn into parking lot. ",,No injury,Commute,,,,,,,,,,,,,,,5,-123.360157,48.4706024
Near collision with moving object or vehicle,"Vehicle, angle",2015-11-02T14:15:00,nearmiss,"In the bike lane approaching the intersection, anticipating light turning green so I could go straight. Nearing the intersection, I was hesitant to pull right up to the ""stop line"" and as I was moving up a  truck idling in the right lane suddenly turned right before checking for bikes. Near miss!",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,W,Heading straight,1978,4,F,1929,-123.3192319,48.46866756
Near collision with moving object or vehicle,"Vehicle, rear end",2015-05-27T16:15:00,nearmiss,"Heading through the intersection, passing other bike riders (including children). Was out in the middle of the lane, saw a car in my rear view mirror and had to dodge right quickly to avoid as he passed.",,No injury,During work,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Uphill,E,Heading straight,1982,8,M,1012,-123.367238,48.44838993
