i_type,date,p_type,details,how_locked,lock,locked_to,lighting,traffic,police_report,police_report_num,insurance_claim,insurance_claim_num,regular_cyclist,pk,longitude,latitude
Minor bike component,2015-06-29T19:30:00,theft,"Quick release removed from back wheel - i.e. intent to cause serious injury [I didn't notice and rode my bike. luckily, the chain jammed up rather  than the wheel falling off].",Frame and tire locked,U-Lock,Good,,Medium,TRUE,T15000455,FALSE,,Y,1253,-123.3868074,48.43752918
Bike (value < $1000),2015-07-28T02:00:00,theft,"Bike stolen from under the Petch Building breezeway; nothing left behind. The bike is a Giant - Escape (Med), mostly dark grey with some blue and white, handlebars have one side with blue grip tape and the other side black. A white Giro helmet was also taken. Value of the bike is approximately $700.",Frame locked,Cable lock,Moderate,,Very Low,TRUE,,FALSE,,Y,1421,-123.3106971,48.46166024
Minor bike component,2015-07-24T21:30:00,theft,Bike helmet stolen. It was not locked.,Frame and tire locked,Cable lock,Moderate,,High,FALSE,,FALSE,,Y,1493,-123.3646417,48.42785147
Bike (value < $1000),2015-04-17T21:00:00,theft,parked at work inside locked bike cage room. Door access from outside. Likely a very thin person reached through gap by door and opened door from inside. The door has been changed since then ,Not locked,NA,Moderate,,Very Low,TRUE,,FALSE,,Y,1614,-123.3616698,48.42687969
Bike (value < $1000),2015-02-03T17:30:00,theft,"This was an unfortunate situation where I ""locked"" my bike but missed the post. Bike was stolen after work hours when area is fairly quiet.",Not locked,NA,Good,,Low,TRUE,,FALSE,,Y,1636,-123.3787394,48.44014672
Bike (value < $1000),2012-10-12T08:35:00,theft,Bike was stolen from key card entry parking garage.,Not locked,NA,Moderate,,High,,,,,,1727,-123.3649206,48.43049977
Bike (value < $1000),2013-03-12T14:15:00,theft,,Frame locked,Cable lock,Good,,High,TRUE,,,,Y,1746,-123.3471322,48.43053892
Bike (value < $1000),2013-10-24T03:00:00,theft,Locked to a telephone pole guy wire.,Frame and tire locked,Cable lock,Moderate,,Very Low,,,,,,1769,-123.2859993,48.45998474
Bike (value < $1000),2014-08-06T15:20:00,theft,,Frame and both tires locked,Cable lock,Good,,High,FALSE,,FALSE,,Y,2020,-123.383444,48.43774628
Major bike component,2015-09-20T17:10:00,theft,"Hiked for a couple hours in the middle of the day, and when I came back my bike seat and other gear was stolen. The bike seat was a quick adjust style (one you can loosen by hand), so lesson learned. ",Frame and tire locked,Cable lock,Good,,Medium,,,,,,2028,-123.3391607,48.49155019
Bike (value < $1000),2015-11-27T18:00:00,theft,"Bike locked outside the elliot building at 1030 am. When I left the library at 6:30, the bike was gone. Red and white specialized s works mountain bike. Had 2 stickers attached (one said ""1 less tank"" the other said ""I'm into Yukon Parks"").  Fram size 17.5 to 19. Tire size ~26.",Frame locked,Padlock,Poor,,Medium,TRUE,2015-26463,FALSE,,Y,2040,-123.3096617,48.46289459
Major bike component,2015-08-07T01:00:00,theft,Went to a party and left my bike outside. Came back and the seat was gone.,Frame and tire locked,Cable lock,Moderate,,Very Low,FALSE,,FALSE,,Y,2149,-123.3687186,48.43022569
Bike (value < $1000),2014-09-02T13:00:00,theft,Some one stole my bike from the bike rack outside Habit coffee shop,Frame locked,Cable lock,Moderate,,Medium,TRUE,,FALSE,,Y,629,-123.3617502,48.42608231
Bike (value < $1000),2015-10-18T14:30:00,theft,Me and my roommates bikes were both stolen from the same location. They were not locked but they were in an enclosed area by chainlink fence. The fence had a hole cut in it to get at our bikes,Not locked,NA,Poor,,Low,FALSE,,FALSE,,Y,2253,-123.3603394,48.42932514
Bike (value < $1000),2013-10-23T16:55:00,theft,Bike was hanging right in front of my front door to my house. The house is not seeable from street level. ,Not locked,NA,Good,,Very Low,TRUE,na,FALSE,,Y,1396,-123.4004116,48.44247588
Minor bike component,2014-10-16T23:00:00,theft,"Had my bike locked outside swans, took all of my lights and the ripped bike gloves out of my helmet (which was locked)",Frame locked,U-Lock,Moderate,,Low,,,,,,1424,-123.3695823,48.42881257
Bike (value < $1000),2014-09-18T08:25:00,theft,Someone stole the front wheel off my bicycle. The bike was locked to a pole inside the parking area behind my apartment building.,Frame locked,U-Lock,Moderate,,I don't know,FALSE,,FALSE,,Y,630,-123.3518744,48.42156122
Major bike component,2014-07-19T02:00:00,theft,,Frame and tire locked,U-Lock and cable,Moderate,,Very High,TRUE,,TRUE,,,631,-123.3627534,48.42610367
