,x,y,seconds
56,-123.3193928,48.46865333,1097793000
57,-123.3594275,48.45582956,1115852400
59,-123.3586121,48.43075249,1116181500
75,-123.3248377,48.43953639,1146147900
83,-123.3495355,48.41137841,1152133200
82,-123.3686435,48.42168939,1156545000
104,-123.3328414,48.45871119,1234299600
87,-123.3676646,48.46342916,1247099400
85,-123.3614108,48.427743400000004,1273094100
79,-123.3949614,48.45547023,1292118300
109,-123.3219409,48.44115918,1297149000
168,-123.37483940000001,48.44893789,1299766800
58,-123.3890605,48.42812201,1309932300
63,-123.38248370000001,48.4859505,1315611000
124,-123.3808422,48.45612307,1316212200
78,-123.46825,48.46347441,1328382900
100,-123.3891892,48.43139318,1334503800
86,-123.35199840000001,48.43502298,1339017300
73,-123.3807456,48.45625292,1341237600
171,-123.39663290000001,48.43579238,1342217700
136,-123.37910409999999,48.44496684,1343260800
98,-123.329553,48.43146793,1343322000
47,-123.42935800000001,48.4526916,1347487200
46,-123.36033940000002,48.41985592,1348059900
51,-123.33540020000001,48.46863199,1350595800
84,-123.3328307,48.45981043,1355444100
65,-123.40301869999999,48.66099326,1355454600
60,-123.4014845,48.44319471,1360884300
18,-123.38298259999999,48.46767521,1361204400
70,-123.3350086,48.42967041,1361658900
110,-123.3573139,48.41271725,1363025400
11,-123.3757085,48.45080944,1363185000
116,-123.3959055,48.45616042,1366833600
115,-123.3984268,48.48075201,1368252000
16,-123.36993100000001,48.42570853,1368743400
49,-123.3671039,48.43105504,1372948200
80,-123.36786029999999,48.46338904,1373066100
61,-123.3718997,48.44778859,1374667200
99,-123.3543527,48.43811284,1376044500
10,-123.3586764,48.43077384,1377286200
42,-123.3729582,48.42789775,1378334700
48,-123.3223379,48.43312301,1380659700
64,-123.3534622,48.50336973,1381361400
127,-123.35901979999998,48.43881039,1382621400
74,-123.3232284,48.44609841,1383660900
72,-123.3572388,48.47089404,1387585500
40,-123.35936840000001,48.42753645,1389712500
137,-123.35936840000001,48.42753645,1389712500
12,-123.35216940000001,48.435016499999996,1391466600
69,-123.3546156,48.41959603,1392969600
55,-123.42675630000001,48.44617669,1394147100
123,-123.3748662,48.44902329,1395842400
14,-123.323679,48.44616957,1397571600
53,-123.39868429999999,48.59240213,1400089500
135,-123.32236470000001,48.43211573,1400163000
160,-123.3227509,48.42644896,1400184000
103,-123.40687040000002,48.43872141,1400710200
167,-123.4095716,48.42986748,1401747000
161,-123.3712077,48.42814692,1401919800
126,-123.3990812,48.43125792,1402507800
50,-123.38554140000001,48.42099873,1403051400
52,-123.4069991,48.63424867,1403053200
54,-123.34560330000001,48.43454313,1403133300
111,-123.3620024,48.42601111,1403564400
108,-123.34035159999998,48.42668034,1405630800
68,-123.3335388,48.43628353,1405826100
44,-123.3852571,48.4500409,1406241900
62,-123.40513770000001,48.45999897,1406935800
89,-123.4121275,48.62831374,1409939400
81,-123.32080359999999,48.44777792,1410380100
95,-123.3871025,48.49239276,1410638100
43,-123.3331311,48.45056394,1410789900
91,-123.33320619999999,48.44969933,1411070700
90,-123.6960983,48.39572281,1411306200
66,-123.3754617,48.44750394,1411478100
67,-123.44545659999999,48.46403999,1411933800
45,-123.31565379999999,48.45746962,1412633400
71,-123.3295584,48.41555147,1412813400
38,-123.51020530000001,48.44334444,1412818200
101,-123.374126,48.53034706,1412859000
76,-123.3631611,48.43786728,1412982900
77,-123.3608973,48.49299357,1413206700
92,-123.35650919999999,48.42544867,1414192500
88,-123.4732604,48.44772099,1414594500
93,-123.35889640000002,48.42901902,1415826000
133,-123.3619809,48.46671841,1416496200
94,-123.3757138,48.45080944,1416873600
0,-123.3433771,48.43445415,1417757400
96,-123.3724469,48.47536451,1418139600
8,-123.35451359999999,48.435016499999996,1418244000
97,-123.44906,48.57786694,1420470000
35,-123.39036940000001,48.45823093,1420848000
102,-123.4124494,48.48078757,1421280000
105,-123.3108044,48.44574257,1421455200
36,-123.3548945,48.4234765,1422448200
106,-123.35221229999999,48.43504853,1423004400
107,-123.33655890000001,48.46375187,1423245000
117,-123.349632,48.46681089,1423753500
121,-123.41800459999999,48.63903085,1424959200
113,-123.30250559999999,48.42331275,1425495600
112,-123.37995169999999,48.43543292,1425588000
114,-123.3246017,48.44282462,1425656700
147,-123.4193695,48.43734233,1426432200
118,-123.3097529,48.46839724,1426703400
129,-123.38712930000001,48.49230744,1427061600
120,-123.3349979,48.43608423,1427122800
119,-123.42397209999999,48.46845415,1427464800
130,-123.37691550000001,48.4533,1428014400
122,-123.4049606,48.48124273,1428179400
125,-123.3117807,48.46204442,1428386400
128,-123.37489840000002,48.44903752,1429019400
134,-123.30952759999998,48.46391905,1429655400
17,-123.37785420000002,48.41216178,1430004600
131,-123.3565843,48.42543087,1430227200
132,-123.3706005,48.44514903,1430777700
3,-123.361423,48.47031076,1430924400
9,-123.37618590000001,48.44718013,1431559800
24,-123.35968490000002,48.4238325,1431642900
5,-123.3700973,48.42782656,1432591200
4,-123.47570659999998,48.44764982,1433028600
15,-123.36521029999999,48.42808997,1433194800
32,-123.3740723,48.44407722,1433267100
2,-123.39863600000001,48.59240568,1433287200
169,-123.4959841,48.44758578,1433341200
39,-123.3791631,48.44513409,1433858700
192,-123.4094949,48.42990934,1434233100
7,-123.3673394,48.43580609,1436299200
182,-123.3371028,48.4265057,1436986800
29,-123.3791685,48.4446448,1437001200
21,-123.3780903,48.45637744,1437438000
6,-123.3995426,48.46529207,1437908400
25,-123.44608429999998,48.46480832,1438093800
1,-123.41809270000002,48.62190296,1438101000
22,-123.3739758,48.41537345,1438290000
26,-123.4191871,48.43727293,1438426800
179,-123.3320206,48.42875561,1438990200
148,-123.41928090000002,48.43729601,1439305800
193,-123.3659613,48.43117962,1439524800
173,-123.3949989,48.46104839,1439951700
33,-123.4011841,48.51046369,1440028800
37,-123.3806813,48.45615686,1440028800
30,-123.4194285,48.43741173,1440162600
31,-123.41941240000001,48.43734411,1441285200
41,-123.3756982,48.45079129999999,1441321200
166,-123.37070349999999,48.44512341,1441810800
138,-123.46193079999999,48.45870763,1443018600
27,-123.35951329999999,48.42571209,1443707700
34,-123.3876389,48.43038943,1443795300
13,-123.36090800000001,48.47046014,1444408200
19,-123.5458946,48.3715034,1444602600
20,-123.3699846,48.45102292,1445955900
144,-123.3626246,48.42430952,1446246000
23,-123.38778909999998,48.43037163,1446476400
28,-123.38470459999999,48.58024138,1446507000
140,-123.38789109999999,48.430435700000004,1448635500
139,-123.3774412,48.42742076,1448635800
146,-123.3327341,48.46868178,1449458700
143,-123.4655185,48.45781224,1449583500
158,-123.37573529999999,48.45082367,1449846300
141,-123.46619199999999,48.45767467,1450275300
142,-123.39723590000001,48.47095806,1450451100
145,-123.3818293,48.43691704,1450794600
159,-123.38655530000001,48.49120001,1452006000
183,-123.41373279999999,48.43746779,1452107700
174,-123.3234429,48.43221183,1452181800
149,-123.3368111,48.42664119,1455032700
194,-123.35859599999999,48.4256231,1456242600
150,-123.36321470000001,48.47015071,1456504200
151,-123.32195159999998,48.4460735,1458171600
152,-123.36711470000002,48.42938921,1459260000
157,-123.3600605,48.47053838,1459549200
185,-123.3439551,48.44834545,1459621800
153,-123.3740884,48.42813268,1460475000
191,-123.38783470000001,48.43049888,1460585700
156,-123.36447,48.42801878,1460638800
154,-123.40486940000001,48.45978197,1461193200
155,-123.38068429999998,48.45606815,1461202800
172,-123.35614440000002,48.427363799999995,1462399500
163,-123.3367413,48.42665899,1462482600
164,-123.3774412,48.53239323,1462834800
162,-123.384726,48.43038943,1463406600
165,-123.3537662,48.42720955,1464364800
170,-123.41459509999999,48.44779927,1465770600
175,-123.36708780000001,48.43101944,1466634000
176,-123.39668870000001,48.45787873,1467675900
178,-123.372758,48.42792801,1467828300
177,-123.37785420000002,48.45640768,1468171800
181,-123.46376540000001,48.45114034,1471439100
180,-123.38894779999998,48.43739216,1472226600
184,-123.3810568,48.44111647,1472518800
188,-123.3561659,48.4235833,1476637200
186,-123.39031709999999,48.45826206,1477056600
195,-123.3579254,48.41285255,1477091100
187,-123.332305,48.40877897,1477249200
189,-123.3708215,48.461197799999994,1478651100
190,-123.37011869999999,48.42629589,1478899500
